"rules","support","confidence","lift","count"
"{1081003,1081018,1081033,1081090,9057006,14029004} => {21170002}",1.19701822759506e-05,0.923076923076923,3115.74514374514,12
"{1081003,14029003,14029004,14029008} => {21170002}",1.09726670862881e-05,0.916666666666667,3094.10802469136,11
"{1081003,1081018,14029003,14029008} => {21170002}",1.09726670862881e-05,0.916666666666667,3094.10802469136,11
"{1081003,1081018,14029003,14029004,14029008} => {21170002}",1.09726670862881e-05,0.916666666666667,3094.10802469136,11
"{1081003,14029003,14029008} => {21170002}",1.09726670862881e-05,0.846153846153846,2856.09971509972,11
"{1081003,1081018,8036114,9057006} => {21170002}",1.49627278449383e-05,0.833333333333333,2812.82547699214,15
"{1081003,14029004,14029008} => {21170002}",1.39652126552757e-05,0.823529411764706,2779.73341255694,14
"{1081003,1081018,14029004,14029008} => {21170002}",1.39652126552757e-05,0.823529411764706,2779.73341255694,14
"{1081003,1081018,1081090,8036114,9057006} => {21170002}",1.39652126552757e-05,0.823529411764706,2779.73341255694,14
"{1081003,1081018,9057006,14029004} => {21170002}",2.19453341725761e-05,0.814814814814815,2750.3182441701,22
"{1081003,1081018,1081090,14029004} => {21170002}",2.09478189829136e-05,0.807692307692308,2726.277000777,21
"{1081003,1081018,1081090,9057006,14029004} => {21170002}",2.09478189829136e-05,0.807692307692308,2726.277000777,21
"{1081003,1081033,14029004} => {21170002}",1.19701822759506e-05,0.8,2700.31245791246,12
"{1081003,1081018,1081033,14029004} => {21170002}",1.19701822759506e-05,0.8,2700.31245791246,12
"{1081003,1081018,1081090,8036114} => {21170002}",1.49627278449383e-05,0.789473684210526,2664.78203083466,15
"{5003005,5005001,5062001} => {5005003}",1.09726670862881e-05,0.916666666666667,2655.92509633911,11
"{1081003,9057006,14029004} => {21170002}",2.19453341725761e-05,0.785714285714286,2652.09259259259,22
"{1081003,1081018,1081033,1081090,14029008} => {21170002}",1.09726670862881e-05,0.785714285714286,2652.09259259259,11
"{1081003,1081018,1081033,9057006,14029008} => {21170002}",1.09726670862881e-05,0.785714285714286,2652.09259259259,11
"{1081003,1081018,1081033,1081090,9057006,14029008} => {21170002}",1.09726670862881e-05,0.785714285714286,2652.09259259259,11
"{1081003,1081090,14029004} => {21170002}",2.09478189829136e-05,0.777777777777778,2625.303778526,21
"{1081003,1081090,9057006,14029004} => {21170002}",2.09478189829136e-05,0.777777777777778,2625.303778526,21
"{1081003,1081018,1081090,14029003,14029004} => {21170002}",1.29676974656132e-05,0.764705882352941,2581.18102594573,13
"{1081003,1081018,9057006,14029003,14029004} => {21170002}",1.29676974656132e-05,0.764705882352941,2581.18102594573,13
"{1081003,1081018,1081090,9057006,14029003,14029004} => {21170002}",1.29676974656132e-05,0.764705882352941,2581.18102594573,13
"{1081003,14070004} => {21170002}",1.19701822759506e-05,0.75,2531.54292929293,12
"{1081003,1081018,14070004} => {21170002}",1.19701822759506e-05,0.75,2531.54292929293,12
"{1081006,1081090,5003005,5005001} => {5005003}",1.29676974656132e-05,0.866666666666667,2511.05645472062,13
"{5003005,5062001} => {5005003}",1.19701822759506e-05,0.857142857142857,2483.46242774566,12
